source_id,timestamp_local,asset_tag,route_point,axis,speed_hz,flow_m3h,velocity_mm_s_rms,dominant_frequency,acceleration_g_pk,bearing_temp_C,motor_current_A,instrument,instrument_cal_due,analyst_note
VIB-024,2026-02-10 14:20,M-4102,motor drive-end bearing,horizontal,46.0,14.0,4.9,1x running speed,0.56,70,12.7,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-025,2026-02-11 22:45,P-4102,drive-end bearing housing,horizontal,49.0,14.6,10.2,1x running speed,1.1,86,14.1,SKF Microlog AX route 4,2026-09-30,alignment report same shift; dominant 1x and axial remain high
VIB-026,2026-02-11 22:45,P-4102,drive-end bearing housing,vertical,49.0,14.6,5.9,1x running speed,0.79,85,14.1,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-027,2026-02-11 22:45,P-4102,drive-end bearing housing,axial,49.0,14.6,7.1,1x running speed,0.75,86,14.1,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-028,2026-02-11 22:45,M-4102,motor drive-end bearing,horizontal,49.0,14.6,6.4,1x running speed,0.66,77,14.1,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-029,2026-02-13 13:20,P-4102,drive-end bearing housing,horizontal,49.0,16.7,7.8,1x running speed,0.88,80,13.5,SKF Microlog AX route 4,2026-09-30,after strainer clean; vibration only partly improved
VIB-030,2026-02-13 13:20,P-4102,drive-end bearing housing,vertical,49.0,16.7,4.5,1x running speed,0.63,79,13.5,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-031,2026-02-13 13:20,P-4102,drive-end bearing housing,axial,49.0,16.7,5.5,1x running speed,0.6,80,13.5,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-032,2026-02-13 13:20,M-4102,motor drive-end bearing,horizontal,49.0,16.7,4.9,1x running speed,0.53,71,13.5,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-033,2026-02-04 08:50,RF-4101,main carousel gearbox,horizontal,line dependent,,2.2,gear mesh normal,0.35,42,8.2,SKF Microlog AX route 4,2026-09-30,normal filler gearbox signature
VIB-034,2026-02-08 11:45,RF-4101,main carousel gearbox,horizontal,line dependent,,2.4,gear mesh normal,0.37,43,8.5,SKF Microlog AX route 4,2026-09-30,no mechanical vibration increase during F17 records
VIB-035,2026-02-11 22:55,RF-4101,main carousel gearbox,horizontal,line dependent,,2.3,gear mesh normal,0.36,42,8.4,SKF Microlog AX route 4,2026-09-30,"filler faults are pneumatic, not gearbox vibration"
